sequence_id,mmsi,segment_id,point_index,timestamp,original_latitude,original_longitude,imputed_latitude,imputed_longitude,latitude_error,longitude_error,spherical_distance_km,selected_function_id
3,209066000,1,0,2024-03-17 23:03:15,56.549913,7.333435,56.54993012267658,7.333457033457249,1.712267658149358e-05,2.2033457248937793e-05,0.0023342691438735883,vf_-290947450079829879
3,209066000,1,1,2024-03-17 23:03:34,56.550473,7.334633,56.55052505576208,7.334690197026022,5.205576208311413e-05,5.719702602213772e-05,0.006767159759988269,vf_-290947450079829879
3,209066000,1,2,2024-03-17 23:03:45,56.550767,7.335263,56.55086949070632,7.335404133828996,0.00010249070631829227,0.00014113382899605398,0.014307476789250291,vf_-290947450079829879
3,209066000,1,3,2024-03-17 23:04:15,56.551698,7.3372,56.55180885873606,7.337351234200743,0.00011085873605765073,0.0001512342007430334,0.01542293373699212,vf_-290947450079829879
3,209066000,1,4,2024-03-17 23:04:34,56.552273,7.338382,56.55240379182156,7.338584397769517,0.0001307918215616155,0.00020239776951669342,0.019114978530203487,vf_-290947450079829879
3,209066000,1,5,2024-03-17 23:04:45,56.552572,7.339008,56.5527482267658,7.339298334572491,0.000176226765802312,0.0002903345724911688,0.026468945214150396,vf_-290947450079829879
3,209066000,1,6,2024-03-17 23:04:55,56.552903,7.339693,56.55306134944238,7.33994736802974,0.00015834944237980153,0.00025436802973999306,0.023517209850462607,vf_-290947450079829879
3,209066000,1,7,2024-03-17 23:05:05,56.553195,7.340323,56.55337447211896,7.340596401486989,0.0001794721189583015,0.0002734014869893997,0.026057886548241677,vf_-290947450079829879
3,209066000,1,8,2024-03-17 23:05:24,56.553733,7.341452,56.55396940520446,7.341829565055762,0.00023640520446122082,0.00037756505576158617,0.035020472969792375,vf_-290947450079829879
3,209066000,1,9,2024-03-17 23:05:34,56.554058,7.342138,56.554282527881035,7.3424785985130105,0.00022452788103777266,0.00034059851301027066,0.03254265049730994,vf_-290947450079829879
3,209066000,1,10,2024-03-17 23:05:45,56.55439,7.342818,56.554626962825274,7.343192535315985,0.00023696282527652102,0.00037453531598430345,0.03494453395057523,vf_-290947450079829879
3,209066000,1,11,2024-03-17 23:05:55,56.554693,7.343432,56.554940085501855,7.343841568773234,0.0002470855018543716,0.0004095687732341702,0.03721376410888004,vf_-290947450079829879
3,209066000,1,12,2024-03-17 23:06:05,56.554995,7.344058,56.555253208178435,7.344490602230483,0.0002582081784368029,0.0004326022304823596,0.03907936324359186,vf_-290947450079829879
3,209066000,1,13,2024-03-17 23:06:15,56.555293,7.344678,56.555566330855015,7.345139635687732,0.00027333085501624055,0.0004616356877322758,0.04152202925988615,vf_-290947450079829879
3,209066000,1,14,2024-03-17 23:06:34,56.555868,7.345853,56.55616126394052,7.346372799256505,0.0002932639405202053,0.0005197992565051379,0.04558588593969182,vf_-290947450079829879
3,209066000,1,15,2024-03-17 23:06:45,56.556168,7.346482,56.556505698884756,7.347086736059479,0.00033769888475632115,0.000604736059479194,0.05275800585745158,vf_-290947450079829879
3,209066000,1,16,2024-03-17 23:06:55,56.556473,7.347098,56.556818821561336,7.347735769516729,0.00034582156133922126,0.0006377695167287811,0.05482852397133337,vf_-290947450079829879
3,209066000,1,17,2024-03-17 23:07:05,56.556807,7.347788,56.557131944237916,7.348384802973977,0.00032494423791717963,0.0005968029739769065,0.05141075572321511,vf_-290947450079829879
3,209066000,1,18,2024-03-17 23:07:24,56.557395,7.348965,56.55772687732342,7.349617966542751,0.0003318773234184391,0.0006529665427512654,0.05443261325298659,vf_-290947450079829879
3,209066000,1,19,2024-03-17 23:07:34,56.557702,7.349583,56.55804,7.350267,0.0003379999999992833,0.0006839999999996849,0.056297393763607075,vf_-290947450079829879
3,209066000,5,0,2024-03-17 23:21:36,56.58348,7.402835,56.58351403928572,7.402943932142857,3.403928571543702e-05,0.00010893214285712105,0.007669727301837615,vf_-290947450079829879
3,209066000,5,1,2024-03-17 23:21:56,56.584093,7.404113,56.58415411071429,7.404274717857143,6.111071428449577e-05,0.00016171785714291786,0.012010183631585725,vf_-290947450079829879
3,209066000,5,2,2024-03-17 23:22:15,56.584672,7.405342,56.58476217857143,7.4055389642857135,9.01785714333414e-05,0.00019696428571336355,0.015685059409054073,vf_-290947450079829879
3,209066000,5,3,2024-03-17 23:22:25,56.58501,7.406047,56.58508221428571,7.406204357142856,7.221428571568822e-05,0.00015735714285636249,0.012542978875926264,vf_-290947450079829879
3,209066000,5,4,2024-03-17 23:22:36,56.58535,7.40675,56.58543425357143,7.406936289285714,8.425357142982648e-05,0.00018628928571384762,0.01476132065753768,vf_-290947450079829879
3,209066000,5,5,2024-03-17 23:22:56,56.585968,7.408033,56.586074325,7.4082670749999995,0.00010632499999729816,0.00023407499999983372,0.018580066718674033,vf_-290947450079829879
3,209066000,5,6,2024-03-17 23:23:15,56.58651,7.409207,56.58668239285714,7.409531321428571,0.00017239285714509833,0.00032432142857086177,0.027601403418711947,vf_-290947450079829879
3,209066000,5,7,2024-03-17 23:23:25,56.586845,7.409915,56.58700242857143,7.410196714285714,0.00015742857143408173,0.00028171428571432955,0.02457626238229218,vf_-290947450079829879
3,209066000,5,8,2024-03-17 23:23:36,56.587153,7.410557,56.587354467857146,7.410928646428571,0.00020146785714558746,0.00037164642857145935,0.031932936838687545,vf_-290947450079829879
3,209066000,5,9,2024-03-17 23:23:56,56.58777,7.411838,56.58799453928572,7.412259432142856,0.00022453928571763981,0.00042143214285594865,0.03590613280394957,vf_-290947450079829879
3,209066000,5,10,2024-03-17 23:24:15,56.588395,7.413117,56.58860260714286,7.413523678571428,0.00020760714286183202,0.00040667857142828723,0.03395515960077077,vf_-290947450079829879
3,209066000,5,11,2024-03-17 23:24:25,56.588705,7.413758,56.58892264285714,7.414189071428571,0.0002176428571445399,0.00043107142857135017,0.03580949694251877,vf_-290947450079829879
3,209066000,5,12,2024-03-17 23:24:36,56.589013,7.414407,56.58927468214286,7.414921003571428,0.00026168214285604563,0.0005140035714283897,0.042861819751438844,vf_-290947450079829879
3,209066000,5,13,2024-03-17 23:24:46,56.58932,7.415055,56.589594717857146,7.415586396428571,0.0002747178571453901,0.0005313964285713624,0.04462889246746091,vf_-290947450079829879
3,209066000,5,14,2024-03-17 23:25:05,56.589945,7.416343,56.59020278571429,7.416850642857143,0.0002577857142895823,0.000507642857142443,0.04228120116099568,vf_-290947450079829879
3,209066000,5,15,2024-03-17 23:25:15,56.590228,7.41692,56.59052282142857,7.417516035714286,0.0002948214285680706,0.0005960357142855699,0.04905551629467334,vf_-290947450079829879
3,209066000,5,16,2024-03-17 23:25:25,56.59054,7.417563,56.59084285714286,7.418181428571428,0.0003028571428629334,0.0006184285714274651,0.050672957137538575,vf_-290947450079829879
3,209066000,5,17,2024-03-17 23:25:36,56.590883,7.418273,56.591194896428576,7.418913360714285,0.0003118964285775405,0.00064036071428486,0.05234423461900477,vf_-290947450079829879
3,209066000,5,18,2024-03-17 23:25:46,56.591232,7.41897,56.59151493214286,7.419578753571428,0.00028293214285923796,0.000608753571428089,0.04877373319933113,vf_-290947450079829879
3,209066000,5,19,2024-03-17 23:26:05,56.591825,7.42019,56.592123,7.420843,0.0002980000000007976,0.0006529999999997926,0.051926151668834915,vf_-290947450079829879
